measure_candidate,additivity,measured_basis,reasoning
posting_count,additive,"Not a stored column: the count of fact rows, 1 per posting, 1,000,000 in total.",Sums correctly across every dimension. The safest measure in the dataset.
registration_fee,unresolved,"Range 0 to 4,999, mean 252.083069, 900,095 rows at 0 (90.0095%) where 0 means no fee.","Structurally additive - it is a money amount and the 0 values are real. Marked unresolved because the currency is undocumented, so a sum across the nine cities adds different units together."
stipend,unresolved,"Range 2,000 to 110,428, mean 35,066.1992, median 34,984.0, 10,000 missing rows.","SEMANTICALLY UNRESOLVED. Neither the currency nor the pay period (monthly, annual, total) is documented, and rows span nine cities in different currency areas. Summing or averaging stipend across location would produce a number with no defensible meaning. No stipend figure is reported per location anywhere in this audit."
job_description_length,additive,"Range 100 to 5,000, mean 1,799.5383, 3,946 distinct values.",A length in characters; a total length over a set of postings is a real quantity. The average is the more useful aggregate in practice.
grammatical_errors,additive,"Integer count from 0 to 14, mean 2.998825.","A count of occurrences, so totals are meaningful."
vague_description_score,non-additive,"Bounded score 0 to 100, 101 distinct values, mean 30.132072.","A bounded score is not a quantity that accumulates: adding two scores can exceed the scale's own maximum. Only averages, medians and distributions are defensible, and even those assume the undocumented scoring rule is comparable across rows."
urgency_score,non-additive,"Bounded score 0 to 100, 101 distinct values, mean 40.047191.","A bounded score is not a quantity that accumulates: adding two scores can exceed the scale's own maximum. Only averages, medians and distributions are defensible, and even those assume the undocumented scoring rule is comparable across rows."
keyword_spam_score,non-additive,"Bounded score 0 to 100, 101 distinct values, mean 25.573860.","A bounded score is not a quantity that accumulates: adding two scores can exceed the scale's own maximum. Only averages, medians and distributions are defensible, and even those assume the undocumented scoring rule is comparable across rows."
emotional_manipulation_score,non-additive,"Bounded score 0 to 100, 101 distinct values, mean 25.563839.","A bounded score is not a quantity that accumulates: adding two scores can exceed the scale's own maximum. Only averages, medians and distributions are defensible, and even those assume the undocumented scoring rule is comparable across rows."
phishing_language_score,non-additive,"Bounded score 0 to 100, 100 distinct values, mean 20.749288.","A bounded score is not a quantity that accumulates: adding two scores can exceed the scale's own maximum. Only averages, medians and distributions are defensible, and even those assume the undocumented scoring rule is comparable across rows."
trust_signal_score,non-additive,"Bounded composite 0.0 to 100.0, mean 56.555847, 10,000 missing rows.","Composite and bounded, so not additive. The earlier audit established it is not reproducible from the four trust flags, so it also cannot be recomputed if dropped."
fraud_score,non-additive,"Bounded composite 0.0 to 100.0, mean 34.012257, 1,001 distinct values.","Same reasoning as the other scores. It is also close to, but not deterministic of, is_fake_posting, so the two must not be treated as interchangeable."
recruiter_experience_years,non-additive,"Range 0.0 to 19.6, mean 5.052660.","A level attached to a person, not a flow. Summing years of experience across postings counts the same recruiter repeatedly - and with no recruiter identifier, there is no way to know how often."
recruiter_response_time_hours,non-additive,"Range 1.0 to 63.9 hours, mean 18.180468.","A duration per posting; averages are meaningful, totals are not."
company_age,semi-additive,"Range 1 to 39 years, 10,000 missing rows, 39 distinct values.","A stock, not a flow: it can be averaged across any dimension but never summed over time, which is the defining behaviour of a semi-additive measure. Whether it belongs in the fact at all depends on the unresolved company-identity question."
domain_age_months,semi-additive,"Range 1 to 500 months, 500 distinct values, mean 239.541209.",Same reasoning as company_age.
is_fake_posting,additive,"Binary outcome; 221,958 positive rows (22.1958% of all rows).","Additive when summed as a counter of fake postings. It is the outcome being analysed, so it is listed here as a measure and NOT as a slicing attribute."
payment_required,additive,"Binary 0/1; 99,905 rows carry 1 (9.9905%).",Additive only in the narrow sense that summing the flag counts the rows where it is set. Whether it is stored as a fact counter or as a dimension attribute is a schema decision left open.
fake_certificate_offer,additive,"Binary 0/1; 79,830 rows carry 1 (7.9830%).",Additive only in the narrow sense that summing the flag counts the rows where it is set. Whether it is stored as a fact counter or as a dimension attribute is a schema decision left open.
suspicious_email_domain,additive,"Binary 0/1; 250,567 rows carry 1 (25.0567%).",Additive only in the narrow sense that summing the flag counts the rows where it is set. Whether it is stored as a fact counter or as a dimension attribute is a schema decision left open.
linkedin_presence,additive,"Binary 0/1; 800,764 rows carry 1 (80.0764%).",Additive only in the narrow sense that summing the flag counts the rows where it is set. Whether it is stored as a fact counter or as a dimension attribute is a schema decision left open.
website_available,additive,"Binary 0/1; 849,597 rows carry 1 (84.9597%).",Additive only in the narrow sense that summing the flag counts the rows where it is set. Whether it is stored as a fact counter or as a dimension attribute is a schema decision left open.
verification_status,additive,"Binary 0/1; 699,713 rows carry 1 (69.9713%).",Additive only in the narrow sense that summing the flag counts the rows where it is set. Whether it is stored as a fact counter or as a dimension attribute is a schema decision left open.
social_media_presence,additive,"Binary 0/1; 749,800 rows carry 1 (74.9800%).",Additive only in the narrow sense that summing the flag counts the rows where it is set. Whether it is stored as a fact counter or as a dimension attribute is a schema decision left open.
unrealistic_salary_flag,non-additive,"Constant: 1 distinct value over 1,000,000 rows, sum 0.","Its sum is 0 by construction on this extract, so aggregating it carries no information. It is neither removed nor relied upon."
