field,group,provisional_class,distinct_values,missing_pct,pct_stable_within_company_name,max_distinct_one_company_name,is_binary_0_1,is_constant,evidence_en,evidence_vi
company_age,other,unresolved,39,1.0,2.394207612673193,39,False,False,"Numeric, but semantically a company property measured in years. Same ambiguity as domain_age_months.","Dạng số, nhưng về ngữ nghĩa là thuộc tính công ty tính bằng năm. Cùng sự nhập nhằng như domain_age_months."
company_size,other,candidate dimension attribute,4,0.0,15.297282081756482,4,False,False,"Four-valued label with no natural order; a textbook slicing attribute, subject to the company-identity problem below.","Nhãn bốn giá trị không có thứ tự tự nhiên; là thuộc tính cắt lát điển hình, nhưng vướng vấn đề định danh công ty nêu bên dưới."
domain_age_months,trust_company,unresolved,500,0.0,0.11728646045100553,451,False,False,"Numeric and company-flavoured at the same time: it would be a slowly changing company attribute if company_name were an entity key, and a per-posting measure otherwise. The instability measured below leaves both readings open.","Vừa mang tính số vừa mang tính công ty: nó sẽ là một thuộc tính công ty thay đổi chậm nếu company_name là khóa thực thể, và là measure theo tin đăng nếu không. Mức bất ổn đo được bên dưới để ngỏ cả hai cách đọc."
emotional_manipulation_score,content_quality,candidate measure,101,0.0,1.4527882901197886,82,False,False,Bounded 0-100 score recorded per posting; the construction rule is undocumented.,Điểm số giới hạn 0-100 ghi nhận theo từng tin đăng; quy tắc tính không được tài liệu hóa.
employment_type,other,candidate dimension attribute,4,0.0,14.230757201388672,4,False,False,Four-valued contractual label.,Nhãn bốn giá trị về hình thức hợp đồng.
fake_certificate_offer,fraud_outcome,candidate flag,2,0.0,71.60885747349326,2,True,False,Binary 0/1 describing what the posting offers.,Nhị phân 0/1 mô tả nội dung mà tin đăng đưa ra.
fraud_score,fraud_outcome,candidate measure,1001,0.0,0.21893472617521034,605,False,False,Bounded 0-100 composite; the earlier audit established it does NOT determine is_fake_posting.,Điểm tổng hợp giới hạn 0-100; audit trước đã xác lập rằng nó KHÔNG quyết định is_fake_posting.
grammatical_errors,content_quality,candidate measure,15,0.0,9.381353016607763,13,False,False,"A count (0-14). Additive as a count; could alternatively be banded into a dimension attribute, which is not decided here.","Là một đại lượng đếm (0-14). Additive khi cộng dồn; cũng có thể chia dải thành một dimension attribute, nhưng điều đó không được quyết định ở đây."
industry,other,candidate dimension attribute,9,0.0,5.961279829856442,9,False,False,"Nine-valued label, complete and near-uniform.","Nhãn chín giá trị, đầy đủ và gần như đều."
internship_title,other,candidate dimension attribute,9,0.0,6.105151221343008,9,False,False,Nine-valued label describing the role advertised.,Nhãn chín giá trị mô tả vai trò được đăng tuyển.
is_fake_posting,fraud_outcome,outcome,2,0.0,48.09214024333031,2,True,False,"The labelled result of a posting. It is what the warehouse is built to analyse, not a slicing attribute chosen independently of it.","Là kết quả được gán nhãn của một tin đăng. Đây là thứ mà warehouse được xây để phân tích, không phải một thuộc tính cắt lát chọn độc lập."
