staging_column,disposition,target_table,target_column,target_datatype,nullable,transformation_rule,reason
posting_date,Derived (FK),FactInternshipPosting,DateKey,INT,NO,"DateKey = CAST(FORMAT(posting_date,'yyyyMMdd') AS INT); look up DimDate.DateKey. DimDate itself is generated from the calendar over 2018-01-01..2026-12-31 (3,287 rows).","Standard YYYYMMDD integer date key. The date value itself lives in DimDate.FullDate, so the fact stores only the key."
internship_title,Direct (dimension attribute),DimInternshipTitle,InternshipTitle,VARCHAR(32),NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling. Distinct values become dimension rows; the fact carries InternshipTitleKey.","9-value descriptive label, a textbook slicing attribute."
employment_type,Direct (dimension attribute),DimEmploymentType,EmploymentType,VARCHAR(16),NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling. Distinct values become dimension rows; the fact carries EmploymentTypeKey.","4-value contractual label, independent of work_mode."
work_mode,Direct (dimension attribute),DimWorkMode,WorkMode,VARCHAR(16),NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling. Distinct values become dimension rows; the fact carries WorkModeKey.","3-value label describing where the work happens. Kept separate from employment_type: all 12 of 12 combinations occur, Cramer's V 0.000000."
industry,Direct (dimension attribute),DimIndustry,Industry,VARCHAR(24),NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling. Distinct values become dimension rows; the fact carries IndustryKey.","9-value label. Kept separate from internship_title: 81 of 81 cells populated, Cramer's V 0.001236, no functional dependency either way."
location,Direct (dimension attribute),DimLocation,Location,VARCHAR(24),NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling. Distinct values become dimension rows; the fact carries LocationKey. NO country, region or currency attribute is derived.","9-value label. The source carries no geographic hierarchy and does not say what the location locates, so none is invented."
company_name,Direct (dimension attribute),DimCompanyName,CompanyName,VARCHAR(64),NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling. No trimming, case-folding, de-duplication or entity resolution. Distinct strings become dimension rows; the fact carries CompanyNameKey.","The only company handle in the source. Modelled as the NAME OBSERVED ON A POSTING, not a company entity: only 2.6147% of repeated names carry a single profile combination."
company_size,Direct (mini-dimension attribute),DimCompanyProfile,CompanySize,VARCHAR(16),NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling. Part of the 5-attribute profile combination key. NO ordinal sort key is assigned.","Describes the company profile observed for a posting. Unstable within company_name (15.2973% stable), so it cannot hang off DimCompanyName."
company_age,Direct (fact measure),FactInternshipPosting,CompanyAge,SMALLINT,YES,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling. NULL preserved as NULL, never imputed or zero-filled.","Only 2.3942% stable within repeated company_name and decreasing over time in 48.4119% of consecutive pairs, so it cannot be a company attribute. Held at posting grain as a semi-additive snapshot."
linkedin_presence,Direct (mini-dimension attribute),DimCompanyProfile,LinkedInPresence,TINYINT,NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling. 0/1 retained as 0/1. Part of the 5-attribute profile combination key.","Reads as a company property but is only 50.7506% stable within repeated company_name, so it is a posting-time observation."
website_available,Direct (mini-dimension attribute),DimCompanyProfile,WebsiteAvailable,TINYINT,NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling. 0/1 retained as 0/1. Part of the 5-attribute profile combination key.","Most stable of the presence flags at 57.7722%, which is still far from a functional dependency on company_name."
domain_age_months,Direct (fact measure),FactInternshipPosting,DomainAgeMonths,SMALLINT,NO,"Copy verbatim from staging. No cleaning, casting of value, imputation or re-scaling.","The least stable attribute measured (0.1173% stable within repeated company_name; decreases in 49.5425% of consecutive pairs). Held at posting grain as a semi-additive snapshot, not as a company attribute."
