dw_measure_name,source_column,target_table,datatype,nullable,stored_or_calculated,semantic_meaning,default_aggregation,additivity,additive_across_date,additive_across_company,additive_across_location,measured_basis,caveats
PostingCount,(none - derived constant 1),FactInternshipPosting,INT,NO,Calculated (COUNT(*) at fact grain; not physically stored),One observed internship posting record from the source dataset,SUM (equivalently COUNT(*)),Additive,YES,YES,YES,"1,000,000 fact rows, exactly 1 per staging row","Counts source RECORDS, not verified unique real-world postings. No tested composite key was fully unique, so two rows may describe the same real posting"
FakePostingCount,is_fake_posting,FactInternshipPosting,TINYINT,NO,Stored (source 0/1 preserved verbatim),"1 if the posting record is labelled fake, else 0; summing it counts labelled-fake records",SUM,Additive,YES,YES,YES,"221,958 rows carry 1 (22.1958%)",This is the analytical outcome. It must not be used as a slicing attribute in a dimension alongside its own predictors
FakePostingRate,(derived from is_fake_posting),OLAP / semantic layer only,DECIMAL / FLOAT,YES (undefined when denominator is 0),Calculated (SUM(FakePostingCount) / SUM(PostingCount)); NOT physically stored,Share of observed posting records labelled fake within the current slice,"Ratio of sums, recomputed at every level",Non-additive,NO,NO,NO,Overall baseline 22.1958%,"A ratio must never be stored per row and then summed or averaged; that yields an average of ratios, not the rate. It is computed only in the semantic layer as SUM/SUM"
CompanyAge,company_age,FactInternshipPosting,SMALLINT,YES,Stored (value preserved; NULL preserved as NULL),Company age in years as stated on this posting record,AVG (MIN / MAX also defensible),Semi-additive,NO,NO,NO,"Range 1 to 39 years, 39 distinct values, 10,000 rows (1.0%) missing","A stock, not a flow: it can be averaged but never summed over time. Among 458,854 consecutive posting pairs sharing a company_name it DECREASES in 222,140 (48.4119%), so it does not behave like a company history. Stored at posting grain precisely because no stable company entity exists. NULL must stay NULL, never 0"
DomainAgeMonths,domain_age_months,FactInternshipPosting,SMALLINT,NO,Stored (source value preserved verbatim),Domain age in months as stated on this posting record,AVG (MIN / MAX also defensible),Semi-additive,NO,NO,NO,"Range 1 to 500 months, 500 distinct values, mean 239.541209, 0% missing","Same stock-not-flow reasoning as CompanyAge. It DECREASES in 229,908 of 458,854 consecutive pairs (49.5425%) within one company_name, and is the least stable attribute measured (0.1173% of repeated names carry a single value)"
Stipend,stipend,FactInternshipPosting,INT,YES,Stored (value preserved; NULL preserved as NULL),SEMANTICALLY UNRESOLVED. A stipend amount in an undocumented currency over an undocumented pay period,NONE - hide from default OLAP measures until semantics are resolved,"Unresolved (structurally numeric, semantically undefined)",UNRESOLVED,UNRESOLVED,NO - explicitly prohibited,"Range 2,000 to 110,428, mean 35,066.1992, median 34,984.0, 73,830 distinct values, 10,000 rows (1.0%) missing","Neither currency nor pay period is documented and rows span nine cities in different currency areas. Do NOT convert currency, do NOT annualise, and do NOT publish a cross-location average as a validated business metric. Physically stored so the value is not lost; excluded from the default measure set"
RegistrationFee,registration_fee,FactInternshipPosting,INT,NO,"Stored (source numeric value, explicitly labelled as such)","Fee the posting asks the applicant to pay, as a raw source number in an undocumented currency; 0 means no fee",AVG or MAX within a single location; SUM only with the currency caveat stated,"Unresolved (structurally additive, currency undocumented)",YES within one location,YES within one location,NO - mixes undocumented currencies,"Range 0 to 4,999, mean 252.083069, 4,951 distinct values, 900,095 rows (90.0095%) are exactly 0","The 0 values are real (no fee), not placeholders. Cross-location monetary aggregation remains unresolved. Label the measure as a source numeric value wherever it is exposed"
JobDescriptionLength,job_description_length,FactInternshipPosting,SMALLINT,NO,Stored (source value preserved verbatim),Length of the job description in characters,AVG (SUM is defined but rarely the question being asked),Additive,YES,YES,YES,"Range 100 to 5,000, mean 1,799.5383, 3,946 distinct values, 0% missing","A total character count over a set of postings is a real quantity, so SUM is legitimate; AVG is nevertheless the more useful default"
GrammaticalErrors,grammatical_errors,FactInternshipPosting,TINYINT,NO,Stored (source value preserved verbatim),Count of grammatical errors detected in the posting text,AVG (SUM is defined as a total error count),Additive,YES,YES,YES,"Integer count 0 to 14, 15 distinct values, mean 2.998825, 0% missing","A genuine count, so totals are meaningful. The detection rule behind the count is undocumented"
VagueDescriptionScore,vague_description_score,FactInternshipPosting,TINYINT,NO,Stored (source value preserved verbatim),Bounded 0-100 score for how vague the posting description is,AVG (MIN / MAX also offered),Non-additive,NO,NO,NO,"0 to 100, 101 distinct values, mean 30.132072, 0% missing","Bounded 0-100 score; adding two scores can exceed the scale maximum, so SUM has no business meaning and must not be offered as a default. The scoring rule is undocumented, so even AVG assumes comparability across rows."
